title,address,name
福外科病院,和歌山県和歌山市和歌浦東3丁目5-31,消化器外科放射線科麻酔科内科外科肛門外科
紀の川病院,和歌山県岩出市吉田47-1,内科精神科心療内科神経科
宮本病院,和歌山県和歌山市塩屋3丁目6-1,精神科心療内科
日進会病院,和歌山県東牟婁郡那智勝浦町朝日1丁目221-1,整形外科麻酔科外科放射線科リハビリテーション科神経内科内科脳神経外科呼吸器科消化器科循環器科
白浜はまゆう病院,和歌山県西牟婁郡白浜町1447,内科小児科眼科腎臓内科外科婦人科心療内科神経内科アレルギー科耳鼻咽喉科麻酔科リハビリテーション科脳神経外科皮膚科リウマチ科泌尿器科整形外科呼吸器科消化器科循環器科
紀南こころの医療センター,和歌山県田辺市たきない町25-1,精神科
国保すさみ病院,和歌山県西牟婁郡すさみ町周参見2380,内科リハビリテーション科外科
稲田病院,和歌山県和歌山市和田1175,小児科内科眼科消化器科
半羽胃腸病院,和歌山県和歌山市堀止南ノ丁4-11,泌尿器科放射線科精神科リハビリテーション科内科外科皮膚科消化器科肛門科
上山病院,和歌山県和歌山市内原998,消化器外科外科呼吸器外科小児外科内科麻酔科皮膚科放射線科整形外科乳腺外科リハビリテーション科呼吸器科消化器科循環器科肛門科
和歌山県立医科大学附属病院紀北分院,和歌山県伊都郡かつらぎ町妙寺219,神経内科整形外科内科リハビリテーション科外科麻酔科眼科小児科脳神経外科呼吸器科循環器科糖尿病科
殿田胃腸肛門病院,和歌山県岩出市宮117-7,内科外科放射線科消化器外科消化器科肛門科
橋本病院,和歌山県和歌山市堀止南ノ丁4-31,消化器外科放射線科内科リハビリテーション科麻酔科外科整形外科消化器科循環器科肛門科
宇都宮病院,和歌山県和歌山市鳴神505-4,内科麻酔科放射線科呼吸器科胃腸科循環器科肛門科
潮岬病院,和歌山県東牟婁郡串本町潮岬417,内科精神科神経科
浜病院,和歌山県和歌山市吹上2丁目4-7,放射線科内科外科消化器科糖尿病科
南和歌山医療センター,和歌山県田辺市たきない町27-1,精神科脳神経外科皮膚科眼科乳腺外科歯科口腔外科整形外科耳鼻咽喉科心臓血管外科胸部外科放射線科婦人科内科小児科泌尿器科外科リハビリテーション科呼吸器外科麻酔科呼吸器科消化器科循環器科
西和歌山病院,和歌山県和歌山市中176,放射線科内科リハビリテーション科整形外科皮膚科呼吸器科消化器科胃腸科循環器科
有田市立病院,和歌山県有田市宮崎町6,眼科婦人科脳神経外科小児科整形外科耳鼻咽喉科内科泌尿器科皮膚科外科循環器科
整形外科北裏病院,和歌山県御坊市湯川町小松原454,整形外科リハビリテーション科麻酔科
向井病院,和歌山県和歌山市北野283,放射線科脳神経外科精神科心療内科リハビリテーション科内科
誠佑記念病院,和歌山県和歌山市西田井391,内科整形外科外科心臓血管外科消化器科循環器科
西岡病院,和歌山県有田郡有田川町小島278-1,リウマチ科皮膚科整形外科内科アレルギー科リハビリテーション科外科形成外科麻酔科消化器外科脳神経外科肛門科ペインクリニック科
白浜小南病院,和歌山県西牟婁郡白浜町3220,内科放射線科リハビリテーション科
須佐病院,和歌山県和歌山市吹屋町4丁目30,リハビリテーション科形成外科外科内科麻酔科脳神経外科放射線科整形外科消化器科
山本病院,和歌山県橋本市東家6丁目7-26,放射線科整形外科内科リハビリテーション科歯科眼科呼吸器科消化器科循環器科糖尿病科
富田病院,和歌山県岩出市紀泉台2,リハビリテーション科内科小児科放射線科呼吸器科消化器科循環器科糖尿病科
紀和病院,和歌山県橋本市岸上18-1,脳神経外科皮膚科乳腺外科整形外科内科神経内科放射線科リハビリテーション科泌尿器科外科消化器外科麻酔科呼吸器科消化器科循環器科糖尿病科
伊藤クリニック,和歌山県橋本市高野口町伏原1011,放射線科泌尿器科外科消化器外科脳神経外科リハビリテーション科整形外科内科呼吸器科消化器科循環器科肛門科糖尿病科
田辺中央病院,和歌山県田辺市南新町147,整形外科内科リハビリテーション科外科肛門科
角谷整形外科病院,和歌山県和歌山市吉田337,リハビリテーション科整形外科麻酔科放射線科リウマチ科形成外科内科循環器科
高山病院,和歌山県和歌山市小雑賀3丁目1-11,内科整形外科外科麻酔科小児科皮膚科放射線科呼吸器科胃腸科循環器科肛門科理学診療科
和歌山病院,和歌山県日高郡美浜町和田1138,放射線科神経内科心臓血管外科内科リハビリテーション科外科呼吸器外科歯科小児科呼吸器科循環器科
嶋病院,和歌山県和歌山市西仲間町1丁目30,神経内科リハビリテーション科泌尿器科整形外科外科精神科内科胃腸科肛門科
公立那賀病院,和歌山県紀の川市打田1282,呼吸器外科乳腺外科耳鼻咽喉科リハビリテーション科内科外科精神科産婦人科麻酔科リウマチ科眼科泌尿器科神経内科脳神経外科小児科腎臓内科放射線科整形外科皮膚科呼吸器科循環器科
桜ケ丘病院,和歌山県有田市宮崎町841-1,眼科婦人科放射線科腎臓内科神経内科内科リハビリテーション科泌尿器科皮膚科呼吸器科胃腸科循環器科糖尿病科
琴の浦リハビリテーションセンター附属病院,和歌山県和歌山市毛見1451-2,整形外科外科麻酔科リウマチ科リハビリテーション科
岩崎病院,和歌山県新宮市三輪崎1384,精神科
児玉病院,和歌山県和歌山市餌差町1丁目12,整形外科リウマチ科内科リハビリテーション科腎臓内科消化器科循環器科
河西田村病院,和歌山県和歌山市島橋東ノ丁1-11,泌尿器科リハビリテーション科小児科内科皮膚科神経内科呼吸器科消化器科循環器科
和歌浦病院,和歌山県和歌山市和歌浦東3丁目2-38,精神科心療内科
那智勝浦町立温泉病院,和歌山県東牟婁郡那智勝浦町天満483-1,耳鼻咽喉科整形外科内科リハビリテーション科小児科眼科循環器科糖尿病科
和歌山県立医科大学附属病院,和歌山県和歌山市紀三井寺811-1,血液内科皮膚科泌尿器科乳腺外科外科消化器外科心臓血管外科歯科口腔外科アレルギー科腎臓内科産婦人科精神科放射線科呼吸器外科眼科小児科神経内科耳鼻咽喉科整形外科脳神経外科リハビリテーション科内科小児外科麻酔科神経科呼吸器科消化器科循環器科内分泌科糖尿病科
くしもと町立病院,和歌山県東牟婁郡串本町サンゴ台691-1,眼科小児科整形外科脳神経外科内科耳鼻咽喉科産婦人科外科泌尿器科
今村病院,和歌山県和歌山市砂山南2丁目4-21,外科内科脳神経外科放射線科リハビリテーション科胃腸科肛門科
瀬藤病院,和歌山県和歌山市岡山丁71,内科リハビリテーション科整形外科外科放射線科消化器科循環器科
紀南病院,和歌山県田辺市新庄町46-70,呼吸器外科眼科脳神経外科放射線科神経内科小児科耳鼻咽喉科整形外科小児外科血液内科内科泌尿器科形成外科心臓血管外科皮膚科リハビリテーション科麻酔科外科産婦人科歯科口腔外科呼吸器科消化器科循環器科
笠松病院,和歌山県海南市船尾196,整形外科リハビリテーション科内科外科胃腸科肛門科
中谷医科歯科病院,和歌山県和歌山市屋形町1丁目11,放射線科内科リハビリテーション科整形外科歯科呼吸器科消化器科循環器科
国保日高総合病院,和歌山県御坊市薗116-2,眼科脳神経外科放射線科小児科耳鼻咽喉科整形外科内科泌尿器科皮膚科リハビリテーション科麻酔科外科産婦人科精神科消化器科循環器科内分泌科
新宮病院,和歌山県新宮市仲之町2丁目1-15,歯科口腔外科内科リハビリテーション科
和歌山生協病院,和歌山県和歌山市有本143-1,麻酔科外科消化器外科アレルギー科腎臓内科放射線科リウマチ科小児科神経内科リハビリテーション科内科呼吸器科消化器科循環器科肛門科糖尿病科
橋本市民病院,和歌山県橋本市小峰台2丁目8-1,脳神経外科整形外科皮膚科泌尿器科リハビリテーション科歯科口腔外科内科心臓血管外科産婦人科心療内科乳腺外科麻酔科腎臓内科外科呼吸器外科眼科小児科放射線科耳鼻咽喉科呼吸器科循環器科
紀の郷病院,和歌山県伊都郡九度山町九度山113-6,内科精神科
中谷病院,和歌山県和歌山市鳴神123-1,放射線科神経内科泌尿器科脳神経外科内科リハビリテーション科外科整形外科婦人科呼吸器科消化器科循環器科
中江病院,和歌山県和歌山市船所30-1,消化器外科眼科神経内科内科脳神経外科リハビリテーション科整形外科乳腺外科外科放射線科呼吸器科消化器科胃腸科循環器科糖尿病科
角谷リハビリテーション病院,和歌山県和歌山市納定10-1,内科脳神経外科整形外科放射線科リハビリテーション科循環器科
済生会有田病院,和歌山県有田郡湯浅町吉川52-6,皮膚科整形外科耳鼻咽喉科内科心臓血管外科リハビリテーション科外科眼科放射線科消化器科循環器科
向陽病院,和歌山県和歌山市津秦40,泌尿器科リハビリテーション科外科内科脳神経外科放射線科整形外科消化器科循環器科
堀口記念病院,和歌山県和歌山市湊本町3丁目4-1,麻酔科整形外科内科リハビリテーション科外科消化器外科消化器科
谷口病院,和歌山県海南市日方328,血液内科整形外科リハビリテーション科内科腎臓内科放射線科胃腸科
藤民病院,和歌山県和歌山市塩屋3丁目6-2,内科消化器科
和歌山ろうさい病院,和歌山県和歌山市木ノ本93-1,リハビリテーション科内科血液内科皮膚科麻酔科乳腺外科泌尿器科外科産婦人科呼吸器外科眼科放射線科小児科神経内科耳鼻咽喉科整形外科脳神経外科呼吸器科消化器科循環器科糖尿病科
国保野上厚生総合病院,和歌山県海草郡紀美野町小畑198,産婦人科リハビリテーション科外科精神科眼科脳神経外科耳鼻咽喉科整形外科泌尿器科内科神経科
北出病院,和歌山県御坊市湯川町財部728-4,脳神経外科心療内科放射線科腎臓内科小児科リウマチ科整形外科内科血液内科乳腺外科リハビリテーション科麻酔科外科心臓血管外科消化器外科アレルギー科呼吸器科消化器科循環器科肛門科糖尿病科
石本病院,和歌山県海南市船尾365,整形外科リハビリテーション科内科皮膚科泌尿器科消化器外科外科呼吸器外科放射線科呼吸器科消化器科循環器科肛門科
恵友病院,和歌山県海南市船尾264-2,脳神経外科リハビリテーション科麻酔科内科消化器外科外科放射線科呼吸器科消化器科循環器科
有田南病院,和歌山県有田郡有田川町小島15,内科眼科皮膚科泌尿器科放射線科リハビリテーション科リウマチ科消化器内科腎臓内科人工透析内科
貴志川リハビリテーション病院,和歌山県紀の川市貴志川町丸栖1423-3,脳神経外科整形外科麻酔科内科リハビリテーション科外科
国保日高総合病院・日高医師会　病ー診連携休日急患診療室,和歌山県御坊市薗116-2 国保日高総合病院内,内科小児科
古梅記念病院,和歌山県和歌山市新生町5-37,脳神経外科内科リハビリテーション科乳腺外科外科整形外科
田村病院,和歌山県和歌山市小倉645,精神科
和歌浦中央病院,和歌山県和歌山市塩屋6丁目2-70,泌尿器科外科眼科小児科神経内科整形外科脳神経外科リハビリテーション科内科血液内科消化器科循環器科
稲穂会病院,和歌山県紀の川市粉河756-3,リハビリテーション科脳神経外科内科整形外科外科胃腸科肛門科
玉置病院,和歌山県田辺市上屋敷2丁目5-1,外科婦人科脳神経外科整形外科乳腺外科内科
串本有田病院,和歌山県東牟婁郡串本町有田499-1,放射線科神経内科皮膚科内科リハビリテーション科外科眼科脳神経外科循環器科
名手病院,和歌山県紀の川市名手市場294-1,整形外科内科リハビリテーション科眼科脳神経外科腎臓内科
井上病院,和歌山県和歌山市小人町南ノ丁20,内科脳神経外科整形外科リハビリテーション科
済生会和歌山病院,和歌山県和歌山市十二番丁45,内科皮膚科麻酔科泌尿器科心臓血管外科外科眼科放射線科耳鼻咽喉科整形外科脳神経外科リハビリテーション科消化器科循環器科糖尿病科
