Club,Genre,Address,Access,Age,Feature,url
biima sports(ビーマ スポーツ) 和歌山校,サッカー・フットサル/野球・ソフトボール/バスケットボール/テニス/運動・体操,和歌山県和歌山市小雑賀239番地ワカヤマテニススクール内,きのくに線宮前駅,年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,土日あり/振替あり/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s22000000793
ECCジュニア 神波教室,英語・英会話/学習塾,和歌山県和歌山市神波31-5　,阪和線(天王寺～和歌山)紀伊駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005980
ECCジュニア 秋月教室,英語・英会話/学習塾,和歌山県和歌山市秋月180-9　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200005996
ECCジュニア 有本教室,英語・英会話/学習塾,和歌山県和歌山市有本568-6　,阪和線(天王寺～和歌山)紀伊中ノ島駅/紀勢本線(和歌山～和歌山市)紀和駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005955
ラボ・パーティ 和歌山市松江教室(加地 亜希パーティ),英語・英会話/幼児教室,和歌山県和歌山市松江1478-44,南海本線和歌山市駅/南海本線紀ノ川駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,親子コースあり/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s19000010236
ラボ・パーティ 和歌山市中之島教室(加地 亜希パーティ),英語・英会話/幼児教室,和歌山県和歌山市中之島1288,阪和線(天王寺～和歌山)紀伊中ノ島駅/紀勢本線(和歌山～和歌山市)紀和駅/紀勢本線(和歌山～和歌山市)和歌山駅,⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s19000010341
カワイ音楽教室 和歌山センター,ピアノ,和歌山県和歌山市友田町４丁目１１８,阪和線(天王寺～和歌山)和歌山駅/JR和歌山線和歌山駅/きのくに線和歌山駅,年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,マンツーマン/駅チカ,https://sp-sukusuku.jp/kyoushitsu/s92700001107
ECCジュニア 木ノ本教室,英語・英会話,和歌山県和歌山市木ノ本３３０－５　,南海加太線八幡前駅/南海加太線中松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005937
ECCジュニア 新中通１丁目教室,英語・英会話,和歌山県和歌山市新中通1丁目37番地　,阪和線(天王寺～和歌山)和歌山駅/JR和歌山線和歌山駅/きのくに線和歌山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006000
ECCジュニア 善明寺教室,英語・英会話,和歌山県和歌山市善明寺７２７－２５　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200006023
biima sports(ビーマ スポーツ) 和歌山校,サッカー・フットサル/野球・ソフトボール/バスケットボール/テニス/運動・体操,和歌山県和歌山市小雑賀239番地ワカヤマテニススクール内,きのくに線宮前駅,年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,土日あり/振替あり/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s22000000793
ECCジュニア 神波教室,英語・英会話/学習塾,和歌山県和歌山市神波31-5　,阪和線(天王寺～和歌山)紀伊駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005980
ECCジュニア 秋月教室,英語・英会話/学習塾,和歌山県和歌山市秋月180-9　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200005996
ECCジュニア 有本教室,英語・英会話/学習塾,和歌山県和歌山市有本568-6　,阪和線(天王寺～和歌山)紀伊中ノ島駅/紀勢本線(和歌山～和歌山市)紀和駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005955
ラボ・パーティ 和歌山市松江教室(加地 亜希パーティ),英語・英会話/幼児教室,和歌山県和歌山市松江1478-44,南海本線和歌山市駅/南海本線紀ノ川駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,親子コースあり/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s19000010236
ラボ・パーティ 和歌山市中之島教室(加地 亜希パーティ),英語・英会話/幼児教室,和歌山県和歌山市中之島1288,阪和線(天王寺～和歌山)紀伊中ノ島駅/紀勢本線(和歌山～和歌山市)紀和駅/紀勢本線(和歌山～和歌山市)和歌山駅,⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s19000010341
カワイ音楽教室 和歌山センター,ピアノ,和歌山県和歌山市友田町４丁目１１８,阪和線(天王寺～和歌山)和歌山駅/JR和歌山線和歌山駅/きのくに線和歌山駅,年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,マンツーマン/駅チカ,https://sp-sukusuku.jp/kyoushitsu/s92700001107
ECCジュニア 木ノ本教室,英語・英会話,和歌山県和歌山市木ノ本３３０－５　,南海加太線八幡前駅/南海加太線中松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005937
ECCジュニア 新中通１丁目教室,英語・英会話,和歌山県和歌山市新中通1丁目37番地　,阪和線(天王寺～和歌山)和歌山駅/JR和歌山線和歌山駅/きのくに線和歌山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006000
ECCジュニア 善明寺教室,英語・英会話,和歌山県和歌山市善明寺７２７－２５　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200006023
ECCジュニア 朝日教室,英語・英会話/学習塾,和歌山県和歌山市朝日320,貴志川線交通センター前駅/貴志川線岡崎前駅/貴志川線竈山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005989
ECCジュニア 朝日北教室,英語・英会話/学習塾,和歌山県和歌山市朝日２２９－８　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200006010
ECCジュニア 野崎教室,英語・英会話/学習塾,和歌山県和歌山市狐島２６７－１８　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200005972
ECCジュニア 西浜３丁目教室,英語・英会話,和歌山県和歌山市西浜3丁目5番55-1号　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200006029
ECCジュニア 山東教室,英語・英会話/学習塾,和歌山県和歌山市吉礼１４５３－１　,貴志川線吉礼駅/貴志川線岡崎前駅/貴志川線交通センター前駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005940
ECCジュニア 岩橋教室,英語・英会話,和歌山県和歌山市岩橋１５８２－３　,JR和歌山線田井ノ瀬駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005943
ECCジュニア 杭ノ瀬教室,英語・英会話,和歌山県和歌山市杭ノ瀬１９３－１３　,きのくに線宮前駅/貴志川線神前駅/貴志川線竈山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006024
ECCジュニア 有家教室,英語・英会話/学習塾,和歌山県和歌山市有家２８３　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200005959
ECCジュニア ふじと台東教室,英語・英会話,和歌山県和歌山市栄谷974-84　,南海本線和歌山大学前駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006012
ECCジュニア 梶取教室,英語・英会話,和歌山県和歌山市梶取148-15,南海本線紀ノ川駅/南海加太線紀ノ川駅/南海加太線東松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005984
ECCジュニア 布引教室,英語・英会話/学習塾,和歌山県和歌山市布引405-1　,きのくに線紀三井寺駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005944
ECCジュニア 西浜教室,英語・英会話/学習塾,和歌山県和歌山市西浜２丁目４－１２　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200005965
ECCジュニア 紀ノ川駅前教室,英語・英会話,和歌山県和歌山市市小路156　,南海本線紀ノ川駅/南海加太線紀ノ川駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005994
ECCジュニア 楠本教室,英語・英会話/学習塾,和歌山県和歌山市楠本72-18　,阪和線(天王寺～和歌山)紀伊駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006007
ECCジュニア 名草小学校前教室,英語・英会話/学習塾,和歌山県和歌山市紀三井寺534-6ソフィアファーストビル2...,きのくに線紀三井寺駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005945
ECCジュニア 四ヶ郷北教室,英語・英会話/学習塾,和歌山県和歌山市有本415-29　,阪和線(天王寺～和歌山)紀伊中ノ島駅/阪和線(天王寺～和歌山)六十谷駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005966
ECCジュニア 西和佐小学校前教室,英語・英会話/学習塾,和歌山県和歌山市岩橋1005-1　,JR和歌山線田井ノ瀬駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200006028
ECCジュニア 小倉教室,英語・英会話/学習塾,和歌山県和歌山市大垣内12-3　,JR和歌山線紀伊小倉駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006009
ECCジュニア 秋葉町教室,英語・英会話,和歌山県和歌山市4-21秋葉山マンション108　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200005970
ECCジュニア 和歌浦教室,英語・英会話,和歌山県和歌山市和歌浦中3-3-8ハートブルーユニオン2F,きのくに線紀三井寺駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006003
ECCジュニア 森小手穂教室,英語・英会話/学習塾,和歌山県和歌山市森小手穂１２０２　,貴志川線交通センター前駅/貴志川線岡崎前駅/貴志川線竈山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005941
ECCジュニア 鳴神教室,英語・英会話,和歌山県和歌山市鳴神２４８－４１　,貴志川線日前宮駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005967
ECCジュニア 榎原団地教室,英語・英会話/学習塾,和歌山県和歌山市榎原１５０－１４４　,南海加太線中松江駅/南海加太線八幡前駅/南海加太線東松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005961
ECCジュニア 松島東教室,英語・英会話,和歌山県和歌山市松島358-4　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200005983
ECC外語学院 ECCKIDS 和歌山ミオ校,英語・英会話,和歌山県和歌山市美園町5-61和歌山ミオ3F,阪和線(天王寺～和歌山)和歌山駅/JR和歌山線和歌山駅/きのくに線和歌山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,土日あり/親子コースあり/駅チカ,https://sp-sukusuku.jp/kyoushitsu/s92900000135
ラボ・パーティ 和歌山市湊御殿教室(森 瑞穂パーティ),英語・英会話/幼児教室,和歌山県和歌山市湊御殿3丁目7-7,南海和歌山港線和歌山港駅,⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s22000000038
ラボ・パーティ 和歌山市中之島教室(納谷 里咲パーティ),英語・英会話/幼児教室,和歌山県和歌山市中之島,紀勢本線(和歌山～和歌山市)紀和駅,ベビー,親子コースあり,https://sp-sukusuku.jp/kyoushitsu/s90300000058
講談社こども教室 パームシティ和歌山教室,幼児教室/学習塾,和歌山県和歌山市中野31-1パームシティ和歌山1階,南海加太線東松江駅/南海加太線中松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,土日あり/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s93400000066
講談社こども教室 ふじと台教室,幼児教室/学習塾,和歌山県和歌山市中字楠谷573イオンモール和歌山3階,南海本線和歌山大学前駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s93400000079
講談社こども教室 和歌山教室,幼児教室/学習塾,和歌山県和歌山市新生町7-20イズミヤ和歌山店2階,貴志川線田中口駅/きのくに線宮前駅/貴志川線和歌山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s93400000075
ピアノ教室 piano musica,音楽教室/ピアノ,和歌山県和歌山市中之島509-6,阪和線(天王寺～和歌山)紀伊中ノ島駅/紀勢本線(和歌山～和歌山市)紀和駅/紀勢本線(和歌山～和歌山市)和歌山駅,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s19000009285
biima sports(ビーマ スポーツ) 和歌山校,サッカー・フットサル/野球・ソフトボール/バスケットボール/テニス/運動・体操,和歌山県和歌山市小雑賀239番地ワカヤマテニススクール内,きのくに線宮前駅,年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,土日あり/振替あり/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s22000000793
ECCジュニア 神波教室,英語・英会話/学習塾,和歌山県和歌山市神波31-5　,阪和線(天王寺～和歌山)紀伊駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005980
ECCジュニア 秋月教室,英語・英会話/学習塾,和歌山県和歌山市秋月180-9　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200005996
ECCジュニア 有本教室,英語・英会話/学習塾,和歌山県和歌山市有本568-6　,阪和線(天王寺～和歌山)紀伊中ノ島駅/紀勢本線(和歌山～和歌山市)紀和駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005955
ラボ・パーティ 和歌山市松江教室(加地 亜希パーティ),英語・英会話/幼児教室,和歌山県和歌山市松江1478-44,南海本線和歌山市駅/南海本線紀ノ川駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,親子コースあり/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s19000010236
ラボ・パーティ 和歌山市中之島教室(加地 亜希パーティ),英語・英会話/幼児教室,和歌山県和歌山市中之島1288,阪和線(天王寺～和歌山)紀伊中ノ島駅/紀勢本線(和歌山～和歌山市)紀和駅/紀勢本線(和歌山～和歌山市)和歌山駅,⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s19000010341
カワイ音楽教室 和歌山センター,ピアノ,和歌山県和歌山市友田町４丁目１１８,阪和線(天王寺～和歌山)和歌山駅/JR和歌山線和歌山駅/きのくに線和歌山駅,年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,マンツーマン/駅チカ,https://sp-sukusuku.jp/kyoushitsu/s92700001107
ECCジュニア 木ノ本教室,英語・英会話,和歌山県和歌山市木ノ本３３０－５　,南海加太線八幡前駅/南海加太線中松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005937
ECCジュニア 新中通１丁目教室,英語・英会話,和歌山県和歌山市新中通1丁目37番地　,阪和線(天王寺～和歌山)和歌山駅/JR和歌山線和歌山駅/きのくに線和歌山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006000
ECCジュニア 善明寺教室,英語・英会話,和歌山県和歌山市善明寺７２７－２５　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200006023
ECCジュニア 朝日教室,英語・英会話/学習塾,和歌山県和歌山市朝日320,貴志川線交通センター前駅/貴志川線岡崎前駅/貴志川線竈山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005989
ECCジュニア 朝日北教室,英語・英会話/学習塾,和歌山県和歌山市朝日２２９－８　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200006010
ECCジュニア 野崎教室,英語・英会話/学習塾,和歌山県和歌山市狐島２６７－１８　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200005972
ECCジュニア 西浜３丁目教室,英語・英会話,和歌山県和歌山市西浜3丁目5番55-1号　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200006029
ECCジュニア 山東教室,英語・英会話/学習塾,和歌山県和歌山市吉礼１４５３－１　,貴志川線吉礼駅/貴志川線岡崎前駅/貴志川線交通センター前駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005940
ECCジュニア 岩橋教室,英語・英会話,和歌山県和歌山市岩橋１５８２－３　,JR和歌山線田井ノ瀬駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005943
ECCジュニア 杭ノ瀬教室,英語・英会話,和歌山県和歌山市杭ノ瀬１９３－１３　,きのくに線宮前駅/貴志川線神前駅/貴志川線竈山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006024
ECCジュニア 有家教室,英語・英会話/学習塾,和歌山県和歌山市有家２８３　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200005959
ECCジュニア ふじと台東教室,英語・英会話,和歌山県和歌山市栄谷974-84　,南海本線和歌山大学前駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006012
ECCジュニア 梶取教室,英語・英会話,和歌山県和歌山市梶取148-15,南海本線紀ノ川駅/南海加太線紀ノ川駅/南海加太線東松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005984
ECCジュニア 布引教室,英語・英会話/学習塾,和歌山県和歌山市布引405-1　,きのくに線紀三井寺駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005944
ECCジュニア 西浜教室,英語・英会話/学習塾,和歌山県和歌山市西浜２丁目４－１２　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200005965
ECCジュニア 紀ノ川駅前教室,英語・英会話,和歌山県和歌山市市小路156　,南海本線紀ノ川駅/南海加太線紀ノ川駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005994
ECCジュニア 楠本教室,英語・英会話/学習塾,和歌山県和歌山市楠本72-18　,阪和線(天王寺～和歌山)紀伊駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006007
ECCジュニア 名草小学校前教室,英語・英会話/学習塾,和歌山県和歌山市紀三井寺534-6ソフィアファーストビル2...,きのくに線紀三井寺駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005945
ECCジュニア 四ヶ郷北教室,英語・英会話/学習塾,和歌山県和歌山市有本415-29　,阪和線(天王寺～和歌山)紀伊中ノ島駅/阪和線(天王寺～和歌山)六十谷駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005966
ECCジュニア 西和佐小学校前教室,英語・英会話/学習塾,和歌山県和歌山市岩橋1005-1　,JR和歌山線田井ノ瀬駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200006028
ECCジュニア 小倉教室,英語・英会話/学習塾,和歌山県和歌山市大垣内12-3　,JR和歌山線紀伊小倉駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006009
ECCジュニア 秋葉町教室,英語・英会話,和歌山県和歌山市4-21秋葉山マンション108　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200005970
ECCジュニア 和歌浦教室,英語・英会話,和歌山県和歌山市和歌浦中3-3-8ハートブルーユニオン2F,きのくに線紀三井寺駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006003
ECCジュニア 森小手穂教室,英語・英会話/学習塾,和歌山県和歌山市森小手穂１２０２　,貴志川線交通センター前駅/貴志川線岡崎前駅/貴志川線竈山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005941
ECCジュニア 鳴神教室,英語・英会話,和歌山県和歌山市鳴神２４８－４１　,貴志川線日前宮駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005967
ECCジュニア 榎原団地教室,英語・英会話/学習塾,和歌山県和歌山市榎原１５０－１４４　,南海加太線中松江駅/南海加太線八幡前駅/南海加太線東松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005961
ECCジュニア 松島東教室,英語・英会話,和歌山県和歌山市松島358-4　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200005983
ECC外語学院 ECCKIDS 和歌山ミオ校,英語・英会話,和歌山県和歌山市美園町5-61和歌山ミオ3F,阪和線(天王寺～和歌山)和歌山駅/JR和歌山線和歌山駅/きのくに線和歌山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,土日あり/親子コースあり/駅チカ,https://sp-sukusuku.jp/kyoushitsu/s92900000135
ラボ・パーティ 和歌山市湊御殿教室(森 瑞穂パーティ),英語・英会話/幼児教室,和歌山県和歌山市湊御殿3丁目7-7,南海和歌山港線和歌山港駅,⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s22000000038
ラボ・パーティ 和歌山市中之島教室(納谷 里咲パーティ),英語・英会話/幼児教室,和歌山県和歌山市中之島,紀勢本線(和歌山～和歌山市)紀和駅,ベビー,親子コースあり,https://sp-sukusuku.jp/kyoushitsu/s90300000058
